#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
1076,Dennis Awtrey,733,14159,3516,1382,3009,45.9,0,0,0,752,1154,65.2,703,1514,3342,1467,186,182,245,45.9,50
1077,Greg Ostertag,756,14751,3512,1339,2757,48.6,1,10,10,833,1465,56.9,1475,2670,4145,443,189,1293,684,48.6,51.6
1078,Mike Dunleavy,438,8428,3496,1311,2809,46.7,142,419,33.9,732,904,81,147,542,689,1723,329,25,713,49.2,54.5
1079,Jason Maxiell,618,11379,3481,1398,2823,49.5,0,5,0,685,1214,56.4,1048,1528,2576,266,230,490,487,49.5,51.8
1080,Chris Dudley,886,16322,3473,1391,3380,41.2,0,5,0,691,1508,45.8,2234,3223,5457,375,334,1027,740,41.2,42.9
1080,Ervin Johnson,845,16992,3473,1393,2756,50.5,2,10,20,685,1133,60.5,1677,3471,5148,387,471,1087,724,50.6,53.4
1080,Mike Scott,499,8243,3473,1339,2926,45.8,434,1197,36.3,361,475,76,360,1224,1584,451,156,60,336,53.2,55.4
1083,Jayson Williams,475,9803,3472,1360,3092,44,3,24,12.5,749,1236,60.6,1587,1997,3584,287,204,301,515,44,47.7
1084,Toby Kimball,571,10439,3470,1383,3251,42.5,0,0,0,704,1229,57.3,193,385,3870,571,51,23,0,42.5,45.8
1085,Jacque Vaughn,776,12662,3463,1300,3028,42.9,95,270,35.2,768,986,77.9,148,880,1028,1919,403,15,792,44.5,50
1086,David Benoit,492,9314,3455,1335,3051,43.8,211,661,31.9,574,722,79.5,576,1407,1983,287,216,246,424,47.2,51.3
1086,George Senesky,482,5032,3455,1279,4087,31.3,0,0,0,897,1277,70.2,0,0,878,1553,0,0,0,31.3,37.2
1088,Langston Galloway,405,9295,3452,1232,3113,39.6,601,1637,36.7,387,478,81,202,844,1046,694,295,64,250,49.2,51.9
1089,Elliot Perry,549,9503,3449,1353,2945,45.9,138,384,35.9,605,773,78.3,185,557,742,1699,574,20,780,48.3,52.5
